,Skills
83,sharepoint
84,r
84,excel
84,microsoft
84,tableau
84,etl
85,scrum
85,backend
85,cloud
85,agile
85,kanban
85,devops
86,bi
86,slack
86,warehousing
86,snowflake
86,sql
87,javascript
87,sql
87,js
88,agile
89,warehousing
89,cloud
89,aws
89,python
89,snowflake
90,microsoft
90,cloud
90,java
90,javascript
90,aws
90,python
90,programming
90,azure
90,go
90,c
91,
92,javascript
92,node.js
92,mongodb
92,java
92,postgres
93,microsoft
93,sql
93,vba
94,excel
95,cloud
95,power_bi
95,linux
95,bi
95,qlik
95,tableau
95,etl
95,cognos
95,sql
95,excel
96,javascript
96,python
96,c
96,java
96,html
96,c++
96,coding
97,node
97,docker
97,frontend
97,vue
97,redis
97,aws
97,postgres
98,cloud
98,javascript
98,agile
98,python
98,server
98,back-end
98,frontend
98,backend
98,aws
98,sql
98,ai
98,excel
98,splunk
99,r
99,c++
99,java
99,python
99,programming
99,matlab
100,database
100,sql
100,go
100,excel
101,backend
101,aws
101,agile
101,jira
102,
103,cloud
103,javascript
103,agile
103,asp.net
103,server
103,git
103,scrum
103,json
103,css
103,devops
103,c
103,microsoft
103,html
103,sql
103,apache
103,azure
103,coding
103,powerbi
104,saas
104,agile/scrum
104,aws
104,agile
104,python
104,postgresql
104,sql
105,github
105,back-end
105,scrum
105,agile
105,programming
105,etl
105,jira
105,sql
105,devops
105,spark
106,redis
106,saas
106,aws
106,ruby
106,postgres
107,excel
108,scrum
108,cloud
108,java
108,css
108,javascript
108,html
108,programming
108,apache
108,server
108,azure
108,c
109,warehousing
109,pandas
109,ci/cd
109,airflow
109,python
109,redshift
109,etl
109,bigquery
109,looker
109,snowflake
109,sql
110,database
110,sql
111,ml
111,machine_learning
112,spark
112,nosql
113,go
114,backend
114,frontend
114,golang
114,kotlin
114,fullstack
114,aws
114,programming
115,database
115,cloud
115,hadoop
115,r
115,t-sql
115,sas
115,redshift
115,tableau
115,snowflake
115,sql
115,ai
115,machine_learning
115,azure
115,spss
115,powerbi
116,cloud
116,agile
116,python
116,php
116,devops
116,backend
116,shell
116,aws
116,mysql
116,etl
116,sql
116,bash
116,postgres
116,js
117,warehousing
117,database
117,etl
118,
119,cloud
119,java
119,sql
119,nosql
119,ai
119,machine_learning
119,scala
120,javascript
120,asp.net
120,visual_basic
120,json
120,css
120,devops
120,c
120,ci/cd
120,aws
120,html
120,xml
120,sql
121,agile
121,jira
122,javascript
122,vue.js
122,css
122,html
122,js
123,oracle
123,cloud
124,database
124,agile
124,python
124,r
124,programming
124,devops
124,spark
124,sas
124,aws
124,machine_learning
124,scala
125,cloud
125,aws
125,azure
126,microsoft
126,powerbi
127,sap
127,database
127,warehousing
128,codebase
128,pyspark
128,python
128,ml
128,sql
128,pytorch
128,tensorflow
128,mlops
128,machine_learning
129,cloud
129,python
129,linux
129,server
129,c
129,ubuntu
130,graphql
130,datadog
130,python
130,docker
130,saas
130,redis
130,golang
130,go
130,postgres
131,graphql
131,scrum
131,redis
131,saas
131,cloud
131,javascript
131,ruby
131,agile
131,programming
131,postgresql
131,server
132,
133,cloud
133,saas
133,python
133,programming
133,linux
134,scala
134,oracle
134,warehousing
134,git
134,scrum
134,ci/cd
134,java
134,power_bi
134,pyspark
134,agile
134,python
134,tableau
134,etl
134,mongo
134,cognos
134,hadoop
134,sql
134,nosql
134,bi
134,server
134,azure
135,pandas
135,cloud
135,aws
135,python
135,programming
136,cloud
136,aws
136,azure
137,cloud
137,aws
137,azure
138,python
138,r
138,sql
139,python
139,saas
139,sql
139,go
140,cloud
140,agile
140,python
140,docker
140,gcp
140,redis
140,codebase
140,aws
140,mysql
140,sql
140,coding
141,cloud
141,agile
141,programming
141,devops
141,c
141,java
141,aws
141,c++
142,database
142,server
142,microsoft
142,etl
142,sql
142,go
142,excel
142,ssis
142,vba
142,ssrs
143,cloud
143,aws
143,azure
144,warehousing
144,gcp
144,aws
144,etl
144,sql
144,go
144,azure
145,github
145,c++
145,json
145,css
145,javascript
145,html
145,mysql
145,agile
145,python
145,jira
145,nosql
145,c
146,excel
146,slack
146,tableau
146,twilio
146,bi
147,
148,sap
148,cloud
148,programming
149,database
149,agile
149,server
149,scrum
149,programming
149,c
149,oracle
149,microsoft
149,mysql
149,sql
149,js
150,ci/cd
150,c++
150,cloud
150,python
150,programming
150,docker
150,c
151,backend
151,cloud
151,saas
151,java
151,aws
151,agile
151,docker
152,cloud
152,javascript
152,agile
152,jira
152,linux
152,server
152,scrum
152,oracle
152,java
152,xml
152,apache
152,coding
153,excel
154,excel
155,graphql
155,python
155,frontend
155,css
155,ios
155,mongodb
155,backend
155,html
155,ai
155,coding
155,postgres
156,database
156,cloud
156,agile
156,server
156,spark
156,github
156,oracle
156,ci/cd
156,aws
156,redshift
156,etl
156,sql
156,airflow
157,linux/unix
157,bash
157,perl
157,database
157,javascript
157,ruby
157,python
157,programming
157,postgresql
157,sql
157,postgres
158,cloud
158,agile/scrum
158,javascript
158,docker
158,git
158,scrum
158,frontend
158,json
158,css
158,php
158,mongodb
158,mssql
158,aws
158,html
158,mysql
158,postgresql
158,xml
158,coding
159,r
159,cloud
159,saas
159,css
159,javascript
159,html
160,
161,
162,database
162,backend
162,golang
162,mysql
162,terminal
163,python
163,frontend
163,css
163,mongodb
163,backend
163,html
163,ai
163,coding
163,postgres
164,python
164,hadoop
164,r
164,programming
164,spark
164,tableau
164,sql
164,machine_learning
165,
166,database
166,cloud
166,java
166,javascript
166,mysql
166,agile
166,postgresql
166,sql
166,nosql
166,mongodb
167,cloud
167,python
167,programming
167,no-sql
167,sql
167,docker
167,mongodb
167,postgres
167,go
168,scrum
168,ai/ml
168,data_lakes
168,agile
168,coding
168,sql
169,database
169,ruby
169,node.js
169,saas
169,slack
169,looker
169,warehousing
169,redis
169,aws
169,redshift
169,etl
169,postgres
170,node.js
170,git
170,ci/cd
170,json
170,gitlab
170,mysql
170,linux
170,docker
171,excel
171,tableau
171,sql
172,scala
172,java
172,aws
172,python
172,redshift
172,sql
173,cloud
173,aws
173,azure
174,excel
174,database
174,macros
174,vba
175,excel
176,cloud
176,slack
176,github
176,java
176,aws
176,go
176,azure
177,excel
178,database
178,cloud
178,aws
178,programming
178,hadoop
178,docker
178,ai
178,machine_learning
178,spark
179,cloud
179,aws
179,python
179,ml
179,pytorch
179,tensorflow
179,ai
179,machine_learning
180,database
180,backend
180,frontend
180,cloud
180,agile
181,agile
181,python
181,docker
181,programming
181,devops
181,backend
181,java
181,aws
181,mysql
181,etl
181,postgresql
181,ml
181,nosql
181,machine_learning
181,splunk
181,coding
182,back-end
182,database
182,cloud
182,gcp
182,aws
182,mysql
182,coding
182,php
182,sql
182,nosql
182,mongodb
182,server
183,github
183,saas
183,aws
183,agile
183,python
183,redshift
183,sql
183,server
183,devops
183,c
184,git
184,agile/scrum
184,java
184,coding
184,postgresql
184,jira
184,sql
184,nosql
184,devops
184,bitbucket
185,python
185,programming
185,tableau
185,sql
185,devops
186,github
186,git
186,aws
186,python
186,docker
186,machine_learning
187,excel
188,data_lake
188,ibm
188,etl
188,sql
189,cloud
189,javascript
189,ruby
189,vue.js
189,agile
189,linux
189,back-end
189,scrum
189,gcp
189,aws
190,mssql
190,json
190,tableau
190,etl
190,xml
190,sql
190,bi
191,github
191,c++
191,json
191,css
191,javascript
191,html
191,mysql
191,agile
191,python
191,jira
191,nosql
191,c
192,graphql
192,datadog
192,python
192,docker
192,saas
192,redis
192,golang
192,go
192,postgres
193,agile
194,r
194,java
194,sas
194,aws
194,python
194,programming
194,sql
194,machine_learning
195,data_lake
195,bash
195,excel
195,alteryx
195,microsoft
195,word
195,agile
195,python
195,programming
195,etl
195,hadoop
195,sql
196,database
197,python
197,sql
197,machine_learning
198,perl
198,warehousing
198,java
198,shell
198,python
198,programming
198,etl
198,hadoop
198,sql
198,spark
199,cloud
199,agile
199,linux
199,git
199,devops
199,ci/cd
199,aws
199,sql
199,nosql
199,machine_learning
200,agile
201,scala
201,c++
201,java
201,nlp
201,python
201,programming
201,hadoop
201,machine_learning
201,c
201,spark
202,agile
203,alteryx
203,database
203,git
203,scrum
203,ci/cd
203,cloud
203,json
203,javascript
203,power_bi
203,aws
203,agile
203,python
203,tableau
203,jira
203,snowflake
203,sql
203,docker
203,kanban
203,bitbucket
203,azure
203,c
204,cloud
204,agile
204,jira
204,scrum
204,aws
205,gdpr
205,tableau
206,cloud
206,aws
206,azure
207,javascript
207,html
207,jquery
208,scrum
208,agile
209,agile
209,python
209,hadoop
209,docker
209,bi
209,css
209,slack
209,spark
209,ci/cd
209,java
209,aws
209,sql
209,scala
209,airflow
210,database
210,java
210,ruby
210,python
210,postgres
211,microsoft
211,nuix
211,sql
212,powerpoint
212,coding
212,sql
212,powerbi
213,cloud
213,python
213,linux
213,docker
213,devops
213,golang
213,shell
214,r
214,back-end
214,saas
214,docker
214,devops
214,c
215,oracle
216,cloud
216,ruby
216,agile
217,database
217,bi
217,looker
217,tableau
217,etl
217,postgresql
217,snowflake
217,sql
217,machine_learning
217,go
218,cloud
218,javascript
218,ruby
218,python
218,r
218,dart
218,programming
218,matlab
218,php
218,devops
218,c
218,perl
218,java
218,aws
218,pascal
218,go
218,scala
218,c++
218,kotlin
218,swift
218,coding
219,json
219,programming
220,excel
220,database
220,ai
221,database
221,cloud
221,agile
221,python
221,jira
221,linux
221,git
221,programming
221,devops
221,oracle
221,ci/cd
221,shell
221,go
222,cloud
222,aws
222,azure
223,r
223,python
223,sql
224,redis
224,saas
224,aws
224,ruby
224,postgres
225,cloud
225,data_lakes
225,python
225,hadoop
225,gcp
225,programming
225,c
225,spark
225,java
225,aws
225,rust
225,ml
225,snowflake
225,sql
225,nosql
225,machine_learning
225,azure
225,scala
225,kotlin
225,coding
226,ml
226,machine_learning
227,excel
227,scrum
227,frontend
227,javascript
227,agile
227,coding
227,programming
227,kanban
227,c
228,agile
228,scrum
228,devops
228,azure
229,agile
229,python
229,linux
229,scrum
229,spark
229,java
229,aws
229,snowflake
229,sql
229,apache
229,scala
229,coding
229,postgres
230,cloud
231,cloud
231,java
231,aws
232,backend
232,cloud
232,aws
232,coding
232,server
232,devops
232,azure
232,c
233,database
233,agile
233,python
233,r
233,mongodb
233,devops
233,spark
233,java
233,aws
233,mysql
233,redshift
233,postgresql
233,machine_learning
233,scala
233,airflow
234,programming
235,microsoft
235,tableau
236,data_lake
236,tableau
236,ai
236,machine_learning
237,gdpr
237,tableau
238,ruby
238,jira
238,server
238,slack
238,aws
238,mysql
239,cloud
239,aws
239,docker
239,nosql
239,apache
239,go
239,azure
240,r
240,scala
240,alteryx
240,cloud
240,gcp
240,java
240,css
240,javascript
240,aws
240,html
240,agile
240,python
240,hadoop
240,rshiny
240,sql
240,apache
240,machine_learning
240,spark
241,database
241,cloud
241,java
241,javascript
241,mysql
241,agile
241,postgresql
241,sql
241,nosql
241,mongodb
242,
243,cloud
243,agile
243,jira
243,git
243,github
244,backend
245,agile
246,node.js
246,git
246,microsoft
246,ci/cd
246,airflow
246,css
246,javascript
246,html
246,sass
246,python
246,jquery
246,devops
247,backend
247,aws
247,ml
247,sql
247,docker
248,database
248,json
248,xml
248,sql
249,scrum
249,ibm
249,cloud
249,agile
250,
251,
252,mssql
252,excel
252,macros
252,t-sql
252,sql
253,data_lake
253,github
253,scala
253,git
253,java
253,shell
253,aws
253,agile
253,python
253,redshift
253,programming
253,etl
253,ml
253,linux
253,jira
253,sql
253,apache
253,bi
253,machine_learning
253,azure
253,spark
254,cloud
254,gdpr
255,spreadsheets
255,database
255,scrum
255,microsoft
255,word
255,agile
255,powerpoint
256,bash
256,perl
256,c++
256,java
256,python
256,programming
256,php
256,linux
256,c
257,
258,
259,cloud
259,agile
259,jira
259,scrum
259,aws
259,kanban
259,go
259,azure
260,
261,r
261,scala
261,saas
261,aws
261,pyspark
261,ai
261,spark
262,cloud
262,ruby
262,terminal
263,database
263,cloud
263,agile
263,docker
263,css
263,oracle
263,ci/cd
263,java
263,mysql
263,postgresql
264,database
264,agile/scrum
264,javascript
264,linux
264,json
264,oracle
264,backend
264,ember.js
264,java
264,xml
264,sql
264,coding
265,github
265,scala
265,back-end
265,node.js
265,scrum
265,ci/cd
265,java
265,javascript
265,agile
265,sql
265,docker
265,nosql
265,html5
266,cloud
266,aws
266,azure
267,excel
268,database
268,cloud
268,aws
268,mysql
268,redshift
268,sql
268,nosql
268,postgres
269,database
269,python
269,tableau
270,database
270,ci/cd
270,cloud
270,javascript
270,aws
270,python
270,linux
270,ai
271,cloud
271,ml
271,ai
271,coding
272,datadog
272,gcp
272,golang
272,aws
272,python
272,server
272,azure
273,data_lake
273,ibm
273,etl
273,sql
274,database
274,cloud
274,frontend
274,gcp
274,backend
274,java
274,aws
274,mysql
274,sql
274,ai
274,machine_learning
274,azure
275,java
275,splunk
276,
277,r
277,scrum
277,ci/cd
277,agile
277,jira
277,kanban
278,cloud
278,java
278,aws
278,python
278,hadoop
278,snowflake
278,sql
278,azure
278,spark
279,cloud
279,ruby
279,node
279,frontend
279,saas
279,backend
279,microsoft
279,ember.js
279,golang
279,aws
279,go
279,azure
280,airflow
280,cloud
280,gcp
280,json
280,data_lakes
280,aws
280,python
280,redshift
280,programming
280,tableau
280,bigquery
280,looker
280,xml
280,snowflake
280,sql
280,nosql
280,powerbi
280,azure
280,c
280,spark
281,python
281,machine_learning
282,oracle
283,database
283,scrum
283,cloud
283,agile
283,python
283,sql
284,excel
284,microsoft
284,word
284,css
284,javascript
284,programming
284,visio
285,data_lake
285,database
285,python
285,hadoop
285,ibm
285,oracle
285,microsoft
285,sql
286,database
286,datadog
286,cloud
286,javascript
286,agile
286,jira
286,saas
286,mongodb
286,c
286,java
286,sql
286,azure
286,jquery
287,data_lake
287,ibm
287,etl
287,sql
288,excel
289,redis
289,saas
289,aws
289,ruby
289,postgres
290,scrum
290,cloud
290,java
290,aws
290,agile
290,python
290,programming
290,sql
290,nosql
290,ai
290,devops
290,go
290,c
291,redis
291,nosql
291,mongodb
291,spark
292,cloud
292,aws
292,azure
293,cloud
293,microsoft
293,golang
293,aws
293,go
293,azure
294,microsoft
294,cloud
294,css
294,javascript
294,aws
294,html
294,azure
295,
296,cloud
296,javascript
296,ruby
296,python
296,docker
296,programming
296,github
296,backend
296,ci/cd
296,java
296,aws
296,scala
297,python
297,git
297,programming
297,c
297,matplotlib
297,github
297,pandas
297,sql
297,ai
297,machine_learning
297,unix
298,microsoft
298,ci/cd
298,cloud
298,gcp
298,aws
298,go
298,azure
299,cloud
299,saas
299,microsoft
299,ci/cd
299,aws
299,rust
299,go
299,azure
299,bash
299,c++
300,sql
300,programming
300,database
301,matplotlib
301,git
301,jupyter
301,nlp
301,python
301,tableau
301,ml
301,sql
301,ai
301,machine_learning
301,postgres
302,scrum
302,azure
303,cloud
303,aws
303,azure
304,back-end
304,ci/cd
304,cloud
304,ai/ml
304,agile
304,rust
304,docker
304,machine_learning
304,postgres
304,js
304,c
305,excel
305,sap
306,sql
306,programming
306,database
307,
308,node.js
308,cloud
308,javascript
308,aws
308,agile
308,docker
308,azure
309,backend
309,frontend
309,cloud
309,ember.js
309,css
309,javascript
309,html
309,js
310,graphql
310,datadog
310,python
310,docker
310,saas
310,redis
310,golang
310,go
310,postgres
311,git
311,json
311,java
311,shell
311,aws
311,splunk
311,agile
311,python
311,coding
311,programming
311,jira
311,linux
311,sharepoint
311,bitbucket
312,agile
312,scrum
313,database
313,power_bi
313,server
313,bi
313,sql
313,excel
314,database
314,saas
314,tableau
314,sql
315,microsoft
315,cloud
315,css
315,javascript
315,aws
315,html
315,azure
316,cloud
316,python
316,programming
316,go
317,sap
317,ai
318,vb.net
318,sql
318,server
319,r
319,sas
319,aws
319,python
319,programming
319,tableau
319,sql
319,azure
320,saas
320,powerpoint
320,excel
321,scrum
321,cloud
321,java
321,css
321,javascript
321,html
321,programming
321,apache
321,server
321,azure
322,cloud
322,aws
322,azure
323,microsoft
323,tableau
323,excel
324,cloud
324,aws
324,azure
325,ruby
325,agile
325,python
325,looker
325,warehousing
325,aws
325,redshift
325,etl
325,sql
325,machine_learning
325,airflow
325,coding
326,cloud
326,python
326,r
326,looker
326,spark
326,aws
326,tableau
326,ml
326,sql
326,machine_learning
327,c
328,database
328,cloud
328,python
328,php
328,warehousing
328,golang
328,mysql
328,bash
329,ci/cd
329,javascript
329,agile
329,slack
329,programming
329,go
329,bitbucket
330,cloud
330,aws
330,azure
331,data_lake
331,database
331,cloud
331,python
331,hadoop
331,git
331,slack
331,programming
331,spark
331,aws
331,redshift
331,etl
331,sql
331,machine_learning
331,airflow
331,aurora
332,excel
333,powershell
333,database
333,git
333,t-sql
333,cloud
333,ajax
333,json
333,css
333,javascript
333,aws
333,html
333,agile
333,mongo
333,xml
333,asp.net
333,sql
333,jquery
333,server
333,c
334,agile
335,cloud
335,gdpr
336,excel
336,gdpr
336,outlook
336,word
336,agile
336,powerpoint
337,power_bi
337,r
337,microsoft
337,go
337,azure
337,powerbi
338,javascript
338,agile
338,python
338,frontend
338,saas
338,css
338,backend
338,microsoft
338,codebase
338,aws
339,ios
339,swift
340,oracle
340,microsoft
340,ci/cd
340,javascript
340,html
340,agile
340,coding
340,nosql
340,devops
341,powerpoint
341,microsoft
341,excel
342,sql
343,python
344,agile
344,visio
345,agile
345,python
345,hadoop
345,spark
345,java
345,aws
345,ml
345,keras
345,sql
345,tensorflow
345,machine_learning
345,scala
345,postgres
346,cloud
346,aws
346,azure
347,graphql
347,datadog
347,python
347,docker
347,saas
347,redis
347,golang
347,go
347,postgres
348,ibm
348,oracle
348,iot
348,microsoft
348,xml
348,jse/jee
349,javascript
349,node.js
349,mongodb
349,java
349,postgres
350,excel
351,cloud
351,aws
351,agile
351,python
351,sql
351,server
351,devops
351,c
352,database
352,pl/sql
352,cloud
352,javascript
352,python
352,json
352,slack
352,t-sql
352,mysql
352,snowflake
352,sql
353,database
353,javascript
353,html
353,asp.net
353,sql
353,jquery
353,server
353,c
354,database
354,power_bi
354,oracle
354,microsoft
354,cognos
354,sql
355,microsoft
355,tableau
355,excel
356,scala
356,bloomberg
356,tensorflow
357,
358,powershell
358,warehousing
358,cloud
358,aws
358,pyspark
358,redshift
358,python
358,etl
358,bigquery
358,snowflake
358,sql
358,server
358,azure
359,word
359,powerpoint
359,warehousing
359,microsoft
359,sql
359,excel
360,ios
360,agile
361,saas
361,gitlab
361,devops
362,r
362,database
362,microsoft
362,python
362,sql
362,machine_learning
363,bi
363,saas
363,sql
363,excel
364,cloud
364,devops
364,aws
364,snowflake
364,azure
365,sql
365,programming
365,database
366,cloud
366,javascript
366,java
366,sql
366,nosql
366,ai
366,machine_learning
366,scala
367,graphql
367,cloud
367,saas
367,javascript
367,ruby
367,agile
368,
369,
370,saas
370,ruby
371,cloud
371,gcp
371,mysql
371,python
371,etl
371,sql
371,nosql
371,ai
371,spark
372,excel
372,microsoft
372,bi
373,iot
373,coding
374,cloud
374,python
374,docker
374,r
374,programming
374,nlp
374,sql
374,machine_learning
375,codebase
375,ruby
375,python
376,docker
376,cloud
377,cloud
377,aws
377,azure
378,
379,c
380,database
380,cloud
380,saas
380,aws
380,tableau
380,snowflake
380,ai
381,database
381,word
381,css
381,powerpoint
381,php
381,microsoft
381,java
381,html
381,excel
382,excel
383,javascript
383,ruby
383,agile
383,python
383,hadoop
383,html5
383,php
383,java
383,nosql
383,go
384,cloud
384,javascript
384,python
384,css
384,programming
384,java
384,html
384,etl
384,rust
384,sql
385,python
385,jira
385,docker
385,git
385,rust
385,atlassian
386,azure
387,scala
387,unix
387,shell
387,ruby
387,programming
387,go
388,bash
388,scala
388,shell
388,python
388,programming
388,sql
388,spark
389,javascript
389,programming
389,c
389,codebase
389,java
389,go
389,kotlin
389,swift
390,microsoft
391,cloud
391,agile
391,python
391,jira
391,git
391,programming
391,devops
391,ci/cd
391,machine_learning
392,scala
392,iot
392,scrum
392,microsoft
392,ci/cd
392,jupyter
392,c++
392,cloud
392,java
392,shell
392,ai/ml
392,aws
392,agile
392,redshift
392,python
392,programming
392,linux
392,sql
392,docker
392,bi
392,server
392,devops
392,spark
393,
394,cloud
394,aws
394,agile
394,redshift
394,hadoop
394,sql
394,nosql
394,postgres
394,spark
395,agile
395,bi
395,sql
396,cloud
396,data_lakes
396,python
396,hadoop
396,gcp
396,programming
396,c
396,spark
396,java
396,aws
396,rust
396,ml
396,snowflake
396,sql
396,nosql
396,machine_learning
396,azure
396,scala
396,kotlin
396,coding
397,cloud
397,agile
397,excel
398,etl
399,
400,python
400,programming
400,keras
400,sql
400,tensorflow
400,ai
400,machine_learning
400,scikit-learn
400,c++
401,sql
401,excel
401,outlook
401,powerpoint
401,word
401,microsoft
402,database
402,javascript
402,fullstack
402,aws
402,php
402,sql
403,excel
403,oracle
403,microsoft
403,tableau
403,sql
403,powerbi
404,java
404,aws
405,back-end
405,iot
405,cloud
405,java
405,postgresql
405,nosql
405,ai
405,machine_learning
405,c
406,cloud
406,golang
407,
408,r
408,scala
408,database
408,scrum
408,cloud
408,pyspark
408,agile
408,python
408,coding
408,programming
408,etl
408,sql
408,azure
408,spark
409,node.js
409,database
409,backend
409,saas
409,aws
409,postgresql
409,snowflake
409,sql
409,mongodb
409,go
410,agile
410,scrum
411,excel
411,oracle
411,outlook
411,word
411,powerpoint
411,visio
412,graphql
412,scrum
412,redis
412,saas
412,cloud
412,javascript
412,ruby
412,agile
412,programming
412,postgresql
412,server
413,sql
413,tableau
413,css
414,saas
414,agile
414,jira
415,r
415,microsoft
415,power_bi
415,sas
415,python
415,coding
415,tableau
